107,60
107,61
107,62
107,63
107,64
107,65
107,66
107,67
107,68
107,69
107,70
107,71
107,72
109,73
109,74
107,75
107,76
109,77
107,78
119,79
107,80
107,81
109,82
107,83
107,84
109,85
107,86
107,87
107,88
107,89
109,90
119,91
107,92
107,93
107,94
107,95
107,96
107,97
107,98
107,99
119,100
107,101
93,102
107,103
93,104
119,105
119,106
119,107
119,108
109,109
119,110
111,111
109,112
116,113
119,114
107,115
119,116
49,117
80,118
109,119
107,60
107,61
107,62
107,63
107,64
93,65
93,66
93,67
109,68
107,69
107,70
107,71
107,72
107,73
109,74
80,75
107,76
109,77
107,78
107,79
107,80
107,81
107,82
109,83
107,84
107,85
107,86
107,87
107,88
107,89
107,90
119,91
107,92
107,93
107,94
107,95
107,96
107,97
107,98
93,99
93,100
80,101
71,102
80,103
109,104
62,105
118,106
107,107
107,108
118,109
109,110
111,111
62,112
116,113
62,114
93,115
107,116
109,117
107,118
118,119
